,companyName,Freq,RIC,mnemonic,name,searchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch
129,National Storage REIT,63,NSR.AX,A:NSRX,NATIONAL STORAGE REIT STAPLED UNITS,National Storage REIT,,,,
130,Navigator Global Investments,63,NGI.AX,A:NGIX,NAVIGATOR GLOBAL INVESTMENTS,Navigator Global Investments,,,,
131,Nearmap,63,NEA.AX,A:NEAX,NEARMAP,Nearmap,,,,
132,New Hope,63,000876.SZ,CN:NHA,NEW HOPE LIUHE 'A',New Hope,,,,
133,Newcrest Mining,63,NCM.AX,A:NCMX,NEWCREST MINING,Newcrest Mining,,,,
134,NEXTDC,63,NXT.AX,A:NXTX,NEXTDC,NEXTDC,,,,
135,NIB Holdings Ltd.,63,NHF.AX,A:NHFX,NIB HOLDINGS,NIB Holdings Ltd.,,,,
136,Nine Entertainment,63,CHAE.BO,IN:CNB,CHANNEL NINE ENTM.,Nine Entertainment,,,,
137,Northern Star Resources,63,NST.AX,A:NSTX,NORTHERN STAR,Northern Star Resources,,,,
138,Nufarm,63,NUF.AX,A:NUFX,NUFARM,Nufarm,,,,
139,Oil Search,63,OSH.AX,A:OSHX,OIL SEARCH,Oil Search,,,,
140,OMNI BRIDGEWAY,63,OBL.AX,A:OBLX,OMNI BRIDGEWAY,OMNI BRIDGEWAY,,,,
141,Orica,63,ORI.AX,A:ORIX,ORICA,Orica,,,,
142,Origin Energy,63,ORG.AX,A:ORGX,ORIGIN ENERGY (EX BORAL),Origin Energy,,,,
143,Orocobre,63,ORE.AX,A:OREX,,Orocobre,,,,
144,Orora,63,600666.SS,CN:SPC,AURORA OPEL. A,Orora,,,,
145,OZ Minerals Ltd,63,OZL.AX,A:OZLX,OZ MINERALS,OZ Minerals Ltd,,,,
146,OzForex Group,63,OZFRY.PK,@OZFRY,OFX GROUP ADR 1:5,OzForex Group,,,,
147,Pact Group Holdings,63,PGH.AX,A:PGHX,PACT GROUP HOLDINGS,Pact Group Holdings,,,,
148,Peet,63,PPC.AX,A:PPCX,PEET,Peet,,,,
149,Pendal Group,63,PDL.AX,A:PDLX,PENDAL GROUP,Pendal Group,,,,
150,Perpetual,63,RCHA.L,399937,ROTHSCHILDS CONTN. 1994 9% PERP.,Perpetual,,,,
151,Perseus Mining,63,PRU.AX,A:PRUX,PERSEUS MINING,Perseus Mining,,,,
152,Platinum Asset Mangement Ltd/Australia,63,PTM.AX,A:PTMX,PLATINUM ASSET MAN.,Platinum Asset Mangement Ltd/Australia,,,,
153,Premier Investments,63,PMV.AX,A:PMVX,PREMIER INVESTMENT,Premier Investments,,,,
154,Qantas Airways,63,QAN.AX,A:QANX,QANTAS AIRWAYS,Qantas Airways,,,,
155,QBE Insurance Group,63,QBE.AX,A:QBEX,QBE INSURANCE GROUP,QBE Insurance Group,,,,
156,Qube Holdings,63,QUB.AX,A:QUBX,QUBE HOLDINGS,Qube Holdings,,,,
157,Ramsay Health Care,63,RHC.AX,A:RHCX,RAMSAY HEALTH CARE,Ramsay Health Care,,,,
158,REA Group,63,600111.SS,CN:IMR,CHIN.NTHN.RA.ETH. (GROUP) HTEC.'A',REA Group,,,,
159,Regis Resources,63,RRL.AX,A:RRLX,REGIS RESOURCES,Regis Resources,,,,
160,Resolute Mining,63,RSG.AX,A:RSGX,RESOLUTE MINING,Resolute Mining,,,,
161,Ridley,63,RIC.AX,A:RICX,RIDLEY,Ridley,,,,
162,Rio Tinto Ltd.,63,ACC.NS,IN:ASC,ACC,Rio Tinto Ltd.,,,,
163,Sandfire Resources NL,63,SFRNA.AX^J19,A:SFRNAY,SANDFIRE RESOURCES NL DEFERRED,Sandfire Resources NL,,,,
164,Santos,63,STBP3.SA,BR:STB,SANTOS BRASIL PARTICIPACOES ON,Santos,,,,
165,Saracen Mineral Holdings,63,SAR.AX,A:SARX,SARACEN MINERAL HDG.,Saracen Mineral Holdings,,,,
166,Scentre Group,63,SCG.AX,A:SCGX,SCENTRE GROUP UNIT,Scentre Group,,,,
167,Sealink Travel Group,63,SLK.AX,A:SLKX,SEALINK TRAVEL GROUP,Sealink Travel Group,,,,
168,Seek,63,SEK.AX,A:SEKX,SEEK,Seek,,,,
169,Select Harvests,63,SHV.AX,A:SHVX,SELECT HARVESTS,Select Harvests,,,,
170,Senex Energy,63,SXY.AX,A:SXYX,SENEX ENERGY,Senex Energy,,,,
171,Seven Group Holdings,63,SVW.AX,A:SVWX,SEVEN GROUP HOLDINGS,Seven Group Holdings,,,,
172,Seven West Media,63,SWM.AX,A:SWMX,SEVEN WEST MEDIA,Seven West Media,,,,
173,SG Fleet Group,63,SGF.AX,A:SGFX,SG FLEET GROUP,SG Fleet Group,,,,
174,Shopping Centres Australasia Property Gr,63,SCP.AX,A:SCPX,SHPCTR.AUSAN.PR.GP. STAP.UTS.,Shopping Centres Australasia Property Gr,,,,
175,Sigma Pharmaceuticals,63,SIP.DE^E11,NA,NA,Sigma Pharmaceuticals,,,,
176,Silver Lake Resources,63,SBB.TO,C:SBB,SABINA GOLD & SILVER,Silver Lake Resources,,,,
177,Sims Metal Management,63,SMUPF.PK,@SMUPF,SIMS (OTC),Sims Metal Management,,,,
178,Sonic Healthcare,63,SHL.AX,A:SHLX,SONIC HEALTHCARE,Sonic Healthcare,,,,
179,Southern Cross Media Group,63,SXL.AX,A:SXLX,SOUTHERN CROSS MEDIA GP.,Southern Cross Media Group,,,,
180,Spark Infrastructure Group,63,SKI.AX,A:SKIX,SRK.INFR.GP.STAP. UTS.,Spark Infrastructure Group,,,,
181,Starpharma Holdings,63,SPL.AX,A:SPLX,STARPHARMA HOLDINGS,Starpharma Holdings,,,,
182,Steadfast Group,63,SDF.AX,A:SDFX,STEADFAST GROUP,Steadfast Group,,,,
183,Stockland,63,SGP.AX,A:SGPX,STOCKLAND STAPLED UNITS,Stockland,,,,
184,Suncorp Group,63,SUN.AX,A:SUNX,SUNCORP GROUP,Suncorp Group,,,,
185,Sunland Group,63,SDG.AX,A:SDGX,SUNLAND GROUP,Sunland Group,,,,
186,Super Retail Group,63,SUL.AX,A:SULX,SUPER RETAIL GROUP,Super Retail Group,,,,
187,Sydney Airport,63,SYD.AX,A:SYDX,SYDNEY AIRPORT STAPLED UNITS,Sydney Airport,,,,
188,Syrah Resources,63,SYR.AX,A:SYRX,SYRAH RESOURCES,Syrah Resources,,,,
189,Tabcorp Holdings,63,TAH.AX,A:TAHX,TABCORP HOLDINGS,Tabcorp Holdings,,,,
190,Tassal Group,63,TGR.AX,A:TGRX,TASSAL GROUP,Tassal Group,,,,
191,Technology One,63,TNE.AX,A:TNEX,TECHNOLOGY ONE,Technology One,,,,
192,Telstra Corp,63,TLS.F,D:TSTA,TELSTRA (FRA),Telstra Corp,,,,
193,The Star Entertainment Group,63,SGR.AX,A:SGRX,STAR ENTERTAINMENT GROUP,The Star Entertainment Group,,,,
194,TPG Telecom,63,TPM.AX,A:TPMX,TPG TELECOM,TPG Telecom,,,,
195,Transurban Group,63,TCL.AX,A:TCLX,TRANSURBAN GROUP STAPLED UNITS,Transurban Group,,,,
196,Treasury Wine Estates,63,TWE.AX,A:TWEX,TREASURY WINE ESTATES,Treasury Wine Estates,,,,
197,Vicinity Centers,63,VCX.AUX,A:VCXX,VICINITY CENTRES,Vicinity Centers,,,,
198,Village Roadshow,63,VRL.AX,A:VRLX,VILLAGE ROADSHOW,Village Roadshow,,,,
199,Virgin Australia Holdings,63,VAH.AX,A:VAHX,VIRGIN AUSTRALIA HDG. SUSP - SUSP.16/04/20,Virgin Australia Holdings,,,,
200,Virtus Health,63,VRT.AX,A:VRTX,VIRTUS HEALTH,Virtus Health,,,,
201,Vita Group,63,VTG.AX,A:VTGX,VITA GROUP,Vita Group,,,,
202,Vocus Group,63,VOC.AX,A:VOCX,VOCUS GROUP,Vocus Group,,,,
203,Washington H. Soul Pattinson,63,SOL.AX,A:SOLX,WASH.H SOUL PATSN.& CO.,Washington H. Soul Pattinson,,,,
204,Webjet,63,SMLS3.SA,BR:SMF,SMILES FIDELIDADE ON,Webjet,,,,
205,Wesfarmers,63,WES.AX,A:WESX,WESFARMERS,Wesfarmers,,,,
206,Western Areas,63,WSA.AX,A:WSAX,WESTERN AREAS,Western Areas,,,,
207,Westpac Banking Corp,63,WBC.AX,A:WBCX,WESTPAC BANKING,Westpac Banking Corp,,,,
208,Whitehaven Coal,63,WHC.AX,A:WHCX,WHITEHAVEN COAL,Whitehaven Coal,,,,
209,Woodside Petroleum,63,WPL.AX,A:WPLX,WOODSIDE PETROLEUM,Woodside Petroleum,,,,
210,Woolworths Group,63,WOW.AX,A:WOWX,WOOLWORTHS GROUP,Woolworths Group,,,,
211,WorleyParsons Ltd.,63,WOR.F,D:WF9,WORLEY (FRA),WorleyParsons Ltd.,,,,
212,WPP AUNZ,63,WPP.AX,A:WPPX,WPP AUNZ,WPP AUNZ,,,,
213,Yancoal Australia,63,YAL.AX,A:YALX,YANCOAL AUSTRALIA,Yancoal Australia,,,,
