,companyName,Freq,RIC,mnemonic,name,searchTerm,finalSearchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch,notes,FirstTerm,
165,Saracen Mineral Holdings,63,SAR.AX,A:SARX,SARACEN MINERAL HDG.,Saracen Mineral,,Saracen Mineral,,SaracenMinerals,SaracenMineral,,Saracen,
166,Scentre Group,63,SCG.AX,A:SCGX,SCENTRE GROUP UNIT,Scentre Group,,Scentre Group,,ScentreGroup,ScentreGroup,,Scentre,
167,Sealink Travel Group,63,SLK.AX,A:SLKX,SEALINK TRAVEL GROUP,Sealink Travel,,Sealink Travel,,STG_AUD,SealinkTravel,,Sealink,
168,Seek,63,SEK.AX,A:SEKX,SEEK,Seek,,Seek,,seekjobs,seek,,Seek,
169,Select Harvests,63,SHV.AX,A:SHVX,SELECT HARVESTS,Select Harvests,,Select Harvests,,,selectharvests,no twitter,Select,
170,Senex Energy,63,SXY.AX,A:SXYX,SENEX ENERGY,Senex Energy,,Senex Energy,,SenexEnergy,senexenergy,,Senex,
171,Seven Group Holdings,63,SVW.AX,A:SVWX,SEVEN GROUP HOLDINGS,Seven Group,,Seven Group,,,sevengroup,no twitter,SEVEN GROUP,
172,Seven West Media,63,SWM.AX,A:SWMX,SEVEN WEST MEDIA,Seven Media,,Seven Media,,sevenwestmedia,SevenWestMedia ,,Seven Media,
173,SG Fleet Group,63,SGF.AX,A:SGFX,SG FLEET GROUP,SG Fleet,,SG Fleet,,,SGFleet,no twitter,SG Fleet,
174,Shopping Centres Australasia Property Gr,63,SCP.AX,A:SCPX,SHPCTR.AUSAN.PR.GP. STAP.UTS.,SCA Property,,SCA Property,,,scaproperty,no twitter,SCA Property,
175,Sigma Pharmaceuticals,63,SIP.DE^E11,NA,NA,Sigma,,Sigma,,Sigmapharma,sigmapharma,,Sigma,
176,Silver Lake Resources,63,SBB.TO,C:SBB,SABINA GOLD & SILVER,Silver Lake,,Silver Lake,,,SilverLake,no twitter,Silver,
177,Sims Metal Management,63,SMUPF.PK,@SMUPF,SIMS (OTC),Sims Metal,,Sims Metal,,SimsMM,SimsMM,,Sims,
178,Sonic Healthcare,63,SHL.AX,A:SHLX,SONIC HEALTHCARE,Sonic Healthcare,,Sonic Healthcare,,shlconfidential,sonichealthcare,,Sonic Healthcare,
179,Southern Cross Media Group,63,SXL.AX,A:SXLX,SOUTHERN CROSS MEDIA GP.,Southern Cross Media,,Southern Cross Media,,sthrncrossmedia,scMedia,,Southern cross media,
180,Spark Infrastructure Group,63,SKI.AX,A:SKIX,SRK.INFR.GP.STAP. UTS.,Spark Infrastructure,,Spark Infrastructure,,,sparkinfrastructuregroup,no twitter,Spark Infrastructure,
181,Starpharma Holdings,63,SPL.AX,A:SPLX,STARPHARMA HOLDINGS,Starpharma,Starpharma,,,starpharma,starpharma,,Starpharma,Starpharma_ASX
182,Steadfast Group,63,SDF.AX,A:SDFX,STEADFAST GROUP,Steadfast Group,Steadfast Group,,,steadfastins,steadfast,,Steadfast,steadfast_qis
183,Stockland,63,SGP.AX,A:SGPX,STOCKLAND STAPLED UNITS,Stockland,Stockland,,,Stockland,Stockland,,Stockland,StocklandAU
184,Suncorp Group,63,SUN.AX,A:SUNX,SUNCORP GROUP,Suncorp,Suncorp,,,suncorpgroup,suncorp,,Suncorp,Suncorp
185,Sunland Group,63,SDG.AX,A:SDGX,SUNLAND GROUP,Sunland Group,Sunland Group,,,,sunlandgroup,,Sunland,sunlandgroup
186,Super Retail Group,63,SUL.AX,A:SULX,SUPER RETAIL GROUP,Super Retail,Super Retail,,,superretailgp,SuperRetailGroup,,Super,SuperRetailGroup
187,Sydney Airport,63,SYD.AX,A:SYDX,SYDNEY AIRPORT STAPLED UNITS,Sydney Airport,Sydney Airport,,,sydneyairport,SYD,,Sydney,SYD
188,Syrah Resources,63,SYR.AX,A:SYRX,SYRAH RESOURCES,Syrah Resources,Syrah Resources,,,SyrahResources,SyrahResources,,Syrah,Syrah Resources
189,Tabcorp Holdings,63,TAH.AX,A:TAHX,TABCORP HOLDINGS,Tabcorp,Tabcorp,,,Tabcorp,Tabcorp,,Tabcorp,Tabcorp
